Rainfall - (MM), Year, Statistics, Country, ISO3
0, 1908, Feb Average, Gambia, The, GMB
0.35868, 1908, Mar Average, Gambia, The, GMB
0.26987, 1908, Apr Average, Gambia, The, GMB
1.05053, 1908, May Average, Gambia, The, GMB
49.6886, 1908, Jun Average, Gambia, The, GMB
179.74, 1908, Jul Average, Gambia, The, GMB
529.367, 1908, Aug Average, Gambia, The, GMB
309.582, 1908, Sep Average, Gambia, The, GMB
61.849, 1908, Oct Average, Gambia, The, GMB
0.34735, 1908, Nov Average, Gambia, The, GMB
0.64572, 1908, Dec Average, Gambia, The, GMB
0, 1909, Jan Average, Gambia, The, GMB
0, 1909, Feb Average, Gambia, The, GMB
0, 1909, Mar Average, Gambia, The, GMB
0.80232, 1909, Apr Average, Gambia, The, GMB
5.60248, 1909, May Average, Gambia, The, GMB
152.866, 1909, Jun Average, Gambia, The, GMB
232.191, 1909, Jul Average, Gambia, The, GMB
382.383, 1909, Aug Average, Gambia, The, GMB
297.756, 1909, Sep Average, Gambia, The, GMB
106.933, 1909, Oct Average, Gambia, The, GMB
0.7224, 1909, Nov Average, Gambia, The, GMB
0.06971, 1909, Dec Average, Gambia, The, GMB
0, 1910, Jan Average, Gambia, The, GMB
0, 1910, Feb Average, Gambia, The, GMB
0.00289, 1910, Mar Average, Gambia, The, GMB
0.0782, 1910, Apr Average, Gambia, The, GMB
1.13216, 1910, May Average, Gambia, The, GMB
85.6317, 1910, Jun Average, Gambia, The, GMB
240.468, 1910, Jul Average, Gambia, The, GMB
417.863, 1910, Aug Average, Gambia, The, GMB
290.624, 1910, Sep Average, Gambia, The, GMB
67.831, 1910, Oct Average, Gambia, The, GMB
1.93254, 1910, Nov Average, Gambia, The, GMB
0.01236, 1910, Dec Average, Gambia, The, GMB
0, 1911, Jan Average, Gambia, The, GMB
0, 1911, Feb Average, Gambia, The, GMB
0, 1911, Mar Average, Gambia, The, GMB
0, 1911, Apr Average, Gambia, The, GMB
44.1967, 1911, May Average, Gambia, The, GMB
76.5915, 1911, Jun Average, Gambia, The, GMB
160.318, 1911, Jul Average, Gambia, The, GMB
352.993, 1911, Aug Average, Gambia, The, GMB
197.698, 1911, Sep Average, Gambia, The, GMB
58.1931, 1911, Oct Average, Gambia, The, GMB
2.99525, 1911, Nov Average, Gambia, The, GMB
0.5344, 1911, Dec Average, Gambia, The, GMB
0, 1912, Jan Average, Gambia, The, GMB
0, 1912, Feb Average, Gambia, The, GMB
0, 1912, Mar Average, Gambia, The, GMB
0, 1912, Apr Average, Gambia, The, GMB
0.38951, 1912, May Average, Gambia, The, GMB
67.8363, 1912, Jun Average, Gambia, The, GMB
185.074, 1912, Jul Average, Gambia, The, GMB
326.714, 1912, Aug Average, Gambia, The, GMB
257.516, 1912, Sep Average, Gambia, The, GMB
66.4251, 1912, Oct Average, Gambia, The, GMB
5.74199, 1912, Nov Average, Gambia, The, GMB
0, 1912, Dec Average, Gambia, The, GMB
0.60176, 1913, Jan Average, Gambia, The, GMB
0, 1913, Feb Average, Gambia, The, GMB
0.41278, 1913, Mar Average, Gambia, The, GMB
0.15332, 1913, Apr Average, Gambia, The, GMB
1.74262, 1913, May Average, Gambia, The, GMB
76.8508, 1913, Jun Average, Gambia, The, GMB
186.017, 1913, Jul Average, Gambia, The, GMB
249.93, 1913, Aug Average, Gambia, The, GMB
174.492, 1913, Sep Average, Gambia, The, GMB
50.3512, 1913, Oct Average, Gambia, The, GMB
0.41419, 1913, Nov Average, Gambia, The, GMB
1.9017, 1913, Dec Average, Gambia, The, GMB
0.00166, 1914, Jan Average, Gambia, The, GMB
0, 1914, Feb Average, Gambia, The, GMB
0, 1914, Mar Average, Gambia, The, GMB
0.00374, 1914, Apr Average, Gambia, The, GMB
7.16462, 1914, May Average, Gambia, The, GMB
127.868, 1914, Jun Average, Gambia, The, GMB
207.138, 1914, Jul Average, Gambia, The, GMB
442.359, 1914, Aug Average, Gambia, The, GMB
343.105, 1914, Sep Average, Gambia, The, GMB
88.6645, 1914, Oct Average, Gambia, The, GMB
43.9193, 1914, Nov Average, Gambia, The, GMB
0, 1914, Dec Average, Gambia, The, GMB
0, 1915, Jan Average, Gambia, The, GMB
0, 1915, Feb Average, Gambia, The, GMB
0, 1915, Mar Average, Gambia, The, GMB
0.27077, 1915, Apr Average, Gambia, The, GMB
13.2096, 1915, May Average, Gambia, The, GMB
89.5532, 1915, Jun Average, Gambia, The, GMB
362.481, 1915, Jul Average, Gambia, The, GMB
467.701, 1915, Aug Average, Gambia, The, GMB
222.381, 1915, Sep Average, Gambia, The, GMB
54.7514, 1915, Oct Average, Gambia, The, GMB
1.61316, 1915, Nov Average, Gambia, The, GMB
0, 1915, Dec Average, Gambia, The, GMB
0, 1916, Jan Average, Gambia, The, GMB
0.09356, 1916, Feb Average, Gambia, The, GMB
0, 1916, Mar Average, Gambia, The, GMB
0.86091, 1916, Apr Average, Gambia, The, GMB
1.2555, 1916, May Average, Gambia, The, GMB
94.3777, 1916, Jun Average, Gambia, The, GMB
263.381, 1916, Jul Average, Gambia, The, GMB
479.066, 1916, Aug Average, Gambia, The, GMB
267.212, 1916, Sep Average, Gambia, The, GMB
54.6884, 1916, Oct Average, Gambia, The, GMB
0.19601, 1916, Nov Average, Gambia, The, GMB
0.00181, 1916, Dec Average, Gambia, The, GMB
0, 1917, Jan Average, Gambia, The, GMB
0.01344, 1917, Feb Average, Gambia, The, GMB
0, 1917, Mar Average, Gambia, The, GMB
0.4151, 1917, Apr Average, Gambia, The, GMB
8.5231, 1917, May Average, Gambia, The, GMB
87.8191, 1917, Jun Average, Gambia, The, GMB
176.43, 1917, Jul Average, Gambia, The, GMB
446.745, 1917, Aug Average, Gambia, The, GMB
318.887, 1917, Sep Average, Gambia, The, GMB
68.493, 1917, Oct Average, Gambia, The, GMB
0.71258, 1917, Nov Average, Gambia, The, GMB
0, 1917, Dec Average, Gambia, The, GMB
0, 1918, Jan Average, Gambia, The, GMB
0, 1918, Feb Average, Gambia, The, GMB
0, 1918, Mar Average, Gambia, The, GMB
0.06763, 1918, Apr Average, Gambia, The, GMB
32.5507, 1918, May Average, Gambia, The, GMB
171.735, 1918, Jun Average, Gambia, The, GMB
249.674, 1918, Jul Average, Gambia, The, GMB
434.598, 1918, Aug Average, Gambia, The, GMB
350.538, 1918, Sep Average, Gambia, The, GMB
146.96, 1918, Oct Average, Gambia, The, GMB
0, 1918, Nov Average, Gambia, The, GMB
0, 1918, Dec Average, Gambia, The, GMB
0.00166, 1919, Jan Average, Gambia, The, GMB
0, 1919, Feb Average, Gambia, The, GMB
0, 1919, Mar Average, Gambia, The, GMB
1.6273, 1919, Apr Average, Gambia, The, GMB
37.1096, 1919, May Average, Gambia, The, GMB
103.484, 1919, Jun Average, Gambia, The, GMB
239.848, 1919, Jul Average, Gambia, The, GMB
314.645, 1919, Aug Average, Gambia, The, GMB
284.041, 1919, Sep Average, Gambia, The, GMB
68.5338, 1919, Oct Average, Gambia, The, GMB
0, 1919, Nov Average, Gambia, The, GMB
0, 1919, Dec Average, Gambia, The, GMB
0.04568, 1920, Jan Average, Gambia, The, GMB
0.26157, 1920, Feb Average, Gambia, The, GMB
0, 1920, Mar Average, Gambia, The, GMB
0.00025, 1920, Apr Average, Gambia, The, GMB
5.95435, 1920, May Average, Gambia, The, GMB
95.4864, 1920, Jun Average, Gambia, The, GMB
204.888, 1920, Jul Average, Gambia, The, GMB
414.745, 1920, Aug Average, Gambia, The, GMB
309.652, 1920, Sep Average, Gambia, The, GMB
95.1193, 1920, Oct Average, Gambia, The, GMB
0.29532, 1920, Nov Average, Gambia, The, GMB
0, 1920, Dec Average, Gambia, The, GMB
0, 1921, Jan Average, Gambia, The, GMB
0.00407, 1921, Feb Average, Gambia, The, GMB
0, 1921, Mar Average, Gambia, The, GMB
0.27251, 1921, Apr Average, Gambia, The, GMB
6.63612, 1921, May Average, Gambia, The, GMB
102.884, 1921, Jun Average, Gambia, The, GMB
160.276, 1921, Jul Average, Gambia, The, GMB
399.311, 1921, Aug Average, Gambia, The, GMB
291.668, 1921, Sep Average, Gambia, The, GMB
93.9538, 1921, Oct Average, Gambia, The, GMB
0.87247, 1921, Nov Average, Gambia, The, GMB
0.04333, 1921, Dec Average, Gambia, The, GMB
0, 1922, Jan Average, Gambia, The, GMB
0, 1922, Feb Average, Gambia, The, GMB
0.00193, 1922, Mar Average, Gambia, The, GMB
0.44666, 1922, Apr Average, Gambia, The, GMB
28.1415, 1922, May Average, Gambia, The, GMB
58.3406, 1922, Jun Average, Gambia, The, GMB
205.733, 1922, Jul Average, Gambia, The, GMB
369.519, 1922, Aug Average, Gambia, The, GMB
284.799, 1922, Sep Average, Gambia, The, GMB
192.143, 1922, Oct Average, Gambia, The, GMB
5.43262, 1922, Nov Average, Gambia, The, GMB
0.01433, 1922, Dec Average, Gambia, The, GMB
0.14943, 1923, Jan Average, Gambia, The, GMB
0, 1923, Feb Average, Gambia, The, GMB
0.00193, 1923, Mar Average, Gambia, The, GMB
0.5269, 1923, Apr Average, Gambia, The, GMB
5.39762, 1923, May Average, Gambia, The, GMB
72.3069, 1923, Jun Average, Gambia, The, GMB
238.314, 1923, Jul Average, Gambia, The, GMB
360.043, 1923, Aug Average, Gambia, The, GMB
225.872, 1923, Sep Average, Gambia, The, GMB
139.576, 1923, Oct Average, Gambia, The, GMB
10.6721, 1923, Nov Average, Gambia, The, GMB
0.99089, 1923, Dec Average, Gambia, The, GMB
0.35177, 1924, Jan Average, Gambia, The, GMB
0, 1924, Feb Average, Gambia, The, GMB
0, 1924, Mar Average, Gambia, The, GMB
0.18598, 1924, Apr Average, Gambia, The, GMB
2.72094, 1924, May Average, Gambia, The, GMB
149.654, 1924, Jun Average, Gambia, The, GMB
337.361, 1924, Jul Average, Gambia, The, GMB
416.627, 1924, Aug Average, Gambia, The, GMB
324.13, 1924, Sep Average, Gambia, The, GMB
46.4619, 1924, Oct Average, Gambia, The, GMB
10.1678, 1924, Nov Average, Gambia, The, GMB
0, 1924, Dec Average, Gambia, The, GMB
0.00289, 1925, Jan Average, Gambia, The, GMB
0, 1925, Feb Average, Gambia, The, GMB
0, 1925, Mar Average, Gambia, The, GMB
0.10226, 1925, Apr Average, Gambia, The, GMB
9.12145, 1925, May Average, Gambia, The, GMB
127.426, 1925, Jun Average, Gambia, The, GMB
199.936, 1925, Jul Average, Gambia, The, GMB
402.583, 1925, Aug Average, Gambia, The, GMB
284.665, 1925, Sep Average, Gambia, The, GMB
121.914, 1925, Oct Average, Gambia, The, GMB
0.98083, 1925, Nov Average, Gambia, The, GMB
0, 1925, Dec Average, Gambia, The, GMB
0, 1926, Jan Average, Gambia, The, GMB
0.03472, 1926, Feb Average, Gambia, The, GMB
0, 1926, Mar Average, Gambia, The, GMB
0.05154, 1926, Apr Average, Gambia, The, GMB
1.99114, 1926, May Average, Gambia, The, GMB
130.696, 1926, Jun Average, Gambia, The, GMB
268.911, 1926, Jul Average, Gambia, The, GMB
310.07, 1926, Aug Average, Gambia, The, GMB
258.659, 1926, Sep Average, Gambia, The, GMB
46.7446, 1926, Oct Average, Gambia, The, GMB
1.91689, 1926, Nov Average, Gambia, The, GMB
0.01762, 1926, Dec Average, Gambia, The, GMB
0, 1927, Jan Average, Gambia, The, GMB
0.00037, 1927, Feb Average, Gambia, The, GMB
0, 1927, Mar Average, Gambia, The, GMB
0.47251, 1927, Apr Average, Gambia, The, GMB
54.6396, 1927, May Average, Gambia, The, GMB
171.379, 1927, Jun Average, Gambia, The, GMB
196.006, 1927, Jul Average, Gambia, The, GMB
540.359, 1927, Aug Average, Gambia, The, GMB
314.891, 1927, Sep Average, Gambia, The, GMB
209.253, 1927, Oct Average, Gambia, The, GMB
19.0194, 1927, Nov Average, Gambia, The, GMB
0.26723, 1927, Dec Average, Gambia, The, GMB
0, 1928, Jan Average, Gambia, The, GMB
0.03472, 1928, Feb Average, Gambia, The, GMB
0.07238, 1928, Mar Average, Gambia, The, GMB
0.5735, 1928, Apr Average, Gambia, The, GMB
21.5707, 1928, May Average, Gambia, The, GMB
76.4974, 1928, Jun Average, Gambia, The, GMB
252.019, 1928, Jul Average, Gambia, The, GMB
522.884, 1928, Aug Average, Gambia, The, GMB
263.921, 1928, Sep Average, Gambia, The, GMB
164.489, 1928, Oct Average, Gambia, The, GMB
12.2145, 1928, Nov Average, Gambia, The, GMB
0.00124, 1928, Dec Average, Gambia, The, GMB
0, 1929, Jan Average, Gambia, The, GMB
0, 1929, Feb Average, Gambia, The, GMB
0, 1929, Mar Average, Gambia, The, GMB
0.05852, 1929, Apr Average, Gambia, The, GMB
7.99048, 1929, May Average, Gambia, The, GMB
161.099, 1929, Jun Average, Gambia, The, GMB
217.789, 1929, Jul Average, Gambia, The, GMB
451.854, 1929, Aug Average, Gambia, The, GMB
354.826, 1929, Sep Average, Gambia, The, GMB
86.0159, 1929, Oct Average, Gambia, The, GMB
0.14508, 1929, Nov Average, Gambia, The, GMB
1.78434, 1929, Dec Average, Gambia, The, GMB
0.04186, 1930, Jan Average, Gambia, The, GMB
0.22777, 1930, Feb Average, Gambia, The, GMB
0, 1930, Mar Average, Gambia, The, GMB
0.11766, 1930, Apr Average, Gambia, The, GMB
5.35664, 1930, May Average, Gambia, The, GMB
141.13, 1930, Jun Average, Gambia, The, GMB
199.097, 1930, Jul Average, Gambia, The, GMB
356.588, 1930, Aug Average, Gambia, The, GMB
290.576, 1930, Sep Average, Gambia, The, GMB
101.122, 1930, Oct Average, Gambia, The, GMB
1.63719, 1930, Nov Average, Gambia, The, GMB
0.09158, 1930, Dec Average, Gambia, The, GMB
0, 1931, Jan Average, Gambia, The, GMB
0.62631, 1931, Feb Average, Gambia, The, GMB
0, 1931, Mar Average, Gambia, The, GMB
0.1339, 1931, Apr Average, Gambia, The, GMB
36.7051, 1931, May Average, Gambia, The, GMB
84.9341, 1931, Jun Average, Gambia, The, GMB
273.935, 1931, Jul Average, Gambia, The, GMB
149.074, 1931, Aug Average, Gambia, The, GMB
318.733, 1931, Sep Average, Gambia, The, GMB
64.3599, 1931, Oct Average, Gambia, The, GMB
2.86005, 1931, Nov Average, Gambia, The, GMB
0.00414, 1931, Dec Average, Gambia, The, GMB
0.08129, 1932, Jan Average, Gambia, The, GMB
0, 1932, Feb Average, Gambia, The, GMB
0.03268, 1932, Mar Average, Gambia, The, GMB
2.21191, 1932, Apr Average, Gambia, The, GMB
46.7906, 1932, May Average, Gambia, The, GMB
136.611, 1932, Jun Average, Gambia, The, GMB
230.074, 1932, Jul Average, Gambia, The, GMB
472.185, 1932, Aug Average, Gambia, The, GMB
266.33, 1932, Sep Average, Gambia, The, GMB
47.332, 1932, Oct Average, Gambia, The, GMB
3.2662, 1932, Nov Average, Gambia, The, GMB
0.01092, 1932, Dec Average, Gambia, The, GMB
0.14575, 1933, Jan Average, Gambia, The, GMB
0.021, 1933, Feb Average, Gambia, The, GMB
0, 1933, Mar Average, Gambia, The, GMB
0.00685, 1933, Apr Average, Gambia, The, GMB
27.9101, 1933, May Average, Gambia, The, GMB
202.625, 1933, Jun Average, Gambia, The, GMB
364.118, 1933, Jul Average, Gambia, The, GMB
393.993, 1933, Aug Average, Gambia, The, GMB
284.499, 1933, Sep Average, Gambia, The, GMB
75.4896, 1933, Oct Average, Gambia, The, GMB
20.9489, 1933, Nov Average, Gambia, The, GMB
0, 1933, Dec Average, Gambia, The, GMB
0, 1934, Jan Average, Gambia, The, GMB
0, 1934, Feb Average, Gambia, The, GMB
0.05893, 1934, Mar Average, Gambia, The, GMB
0.05469, 1934, Apr Average, Gambia, The, GMB
0.08344, 1934, May Average, Gambia, The, GMB
89.8273, 1934, Jun Average, Gambia, The, GMB
196.014, 1934, Jul Average, Gambia, The, GMB
420.011, 1934, Aug Average, Gambia, The, GMB
265.667, 1934, Sep Average, Gambia, The, GMB
77.8652, 1934, Oct Average, Gambia, The, GMB
2.91786, 1934, Nov Average, Gambia, The, GMB
0.01075, 1934, Dec Average, Gambia, The, GMB
0.41519, 1935, Jan Average, Gambia, The, GMB
0, 1935, Feb Average, Gambia, The, GMB
0.01159, 1935, Mar Average, Gambia, The, GMB
0.01036, 1935, Apr Average, Gambia, The, GMB
3.96549, 1935, May Average, Gambia, The, GMB
159.348, 1935, Jun Average, Gambia, The, GMB
321.453, 1935, Jul Average, Gambia, The, GMB
493.785, 1935, Aug Average, Gambia, The, GMB
277.659, 1935, Sep Average, Gambia, The, GMB
104.978, 1935, Oct Average, Gambia, The, GMB
12.5014, 1935, Nov Average, Gambia, The, GMB
0, 1935, Dec Average, Gambia, The, GMB
0, 1936, Jan Average, Gambia, The, GMB
0, 1936, Feb Average, Gambia, The, GMB
0, 1936, Mar Average, Gambia, The, GMB
0.04201, 1936, Apr Average, Gambia, The, GMB
40.4904, 1936, May Average, Gambia, The, GMB
192.394, 1936, Jun Average, Gambia, The, GMB
261.867, 1936, Jul Average, Gambia, The, GMB
514.88, 1936, Aug Average, Gambia, The, GMB
305.376, 1936, Sep Average, Gambia, The, GMB
129.822, 1936, Oct Average, Gambia, The, GMB
14.0215, 1936, Nov Average, Gambia, The, GMB
0.04254, 1936, Dec Average, Gambia, The, GMB
0, 1937, Jan Average, Gambia, The, GMB
0, 1937, Feb Average, Gambia, The, GMB
0, 1937, Mar Average, Gambia, The, GMB
0.07952, 1937, Apr Average, Gambia, The, GMB
0.84911, 1937, May Average, Gambia, The, GMB
86.1882, 1937, Jun Average, Gambia, The, GMB
244.335, 1937, Jul Average, Gambia, The, GMB
336.105, 1937, Aug Average, Gambia, The, GMB
266.843, 1937, Sep Average, Gambia, The, GMB
170.182, 1937, Oct Average, Gambia, The, GMB
1.37354, 1937, Nov Average, Gambia, The, GMB
0, 1937, Dec Average, Gambia, The, GMB
0.00248, 1938, Jan Average, Gambia, The, GMB
0.0098, 1938, Feb Average, Gambia, The, GMB
0.08539, 1938, Mar Average, Gambia, The, GMB
0.00101, 1938, Apr Average, Gambia, The, GMB
22.2682, 1938, May Average, Gambia, The, GMB
47.1977, 1938, Jun Average, Gambia, The, GMB
228.442, 1938, Jul Average, Gambia, The, GMB
434.837, 1938, Aug Average, Gambia, The, GMB
297.885, 1938, Sep Average, Gambia, The, GMB
159.675, 1938, Oct Average, Gambia, The, GMB
4.87242, 1938, Nov Average, Gambia, The, GMB
0, 1938, Dec Average, Gambia, The, GMB
0.00289, 1939, Jan Average, Gambia, The, GMB
0, 1939, Feb Average, Gambia, The, GMB
0.06226, 1939, Mar Average, Gambia, The, GMB
0.00331, 1939, Apr Average, Gambia, The, GMB
13.8285, 1939, May Average, Gambia, The, GMB
85.0302, 1939, Jun Average, Gambia, The, GMB
215.899, 1939, Jul Average, Gambia, The, GMB
384.397, 1939, Aug Average, Gambia, The, GMB
265.039, 1939, Sep Average, Gambia, The, GMB
152.28, 1939, Oct Average, Gambia, The, GMB
3.01773, 1939, Nov Average, Gambia, The, GMB
0.31241, 1939, Dec Average, Gambia, The, GMB
0.24509, 1940, Jan Average, Gambia, The, GMB
0, 1940, Feb Average, Gambia, The, GMB
0, 1940, Mar Average, Gambia, The, GMB
0.00733, 1940, Apr Average, Gambia, The, GMB
22.0168, 1940, May Average, Gambia, The, GMB
97.2087, 1940, Jun Average, Gambia, The, GMB
184.203, 1940, Jul Average, Gambia, The, GMB
419.423, 1940, Aug Average, Gambia, The, GMB
229.288, 1940, Sep Average, Gambia, The, GMB
204.333, 1940, Oct Average, Gambia, The, GMB
5.12387, 1940, Nov Average, Gambia, The, GMB
0.0009, 1940, Dec Average, Gambia, The, GMB
0, 1941, Jan Average, Gambia, The, GMB
0.04919, 1941, Feb Average, Gambia, The, GMB
0, 1941, Mar Average, Gambia, The, GMB
0.07309, 1941, Apr Average, Gambia, The, GMB
33.4148, 1941, May Average, Gambia, The, GMB
68.7777, 1941, Jun Average, Gambia, The, GMB
180.53, 1941, Jul Average, Gambia, The, GMB
216.987, 1941, Aug Average, Gambia, The, GMB
322.471, 1941, Sep Average, Gambia, The, GMB
23.6937, 1941, Oct Average, Gambia, The, GMB
1.17036, 1941, Nov Average, Gambia, The, GMB
0.00894, 1941, Dec Average, Gambia, The, GMB
0, 1942, Jan Average, Gambia, The, GMB
0.91472, 1942, Feb Average, Gambia, The, GMB
0, 1942, Mar Average, Gambia, The, GMB
0.55118, 1942, Apr Average, Gambia, The, GMB
18.8636, 1942, May Average, Gambia, The, GMB
100.276, 1942, Jun Average, Gambia, The, GMB
212.786, 1942, Jul Average, Gambia, The, GMB
414.365, 1942, Aug Average, Gambia, The, GMB
257.224, 1942, Sep Average, Gambia, The, GMB
75.6836, 1942, Oct Average, Gambia, The, GMB
13.0662, 1942, Nov Average, Gambia, The, GMB
0.11006, 1942, Dec Average, Gambia, The, GMB
0, 1943, Jan Average, Gambia, The, GMB
0.45525, 1943, Feb Average, Gambia, The, GMB
0, 1943, Mar Average, Gambia, The, GMB
0.54411, 1943, Apr Average, Gambia, The, GMB
14.0484, 1943, May Average, Gambia, The, GMB
159.234, 1943, Jun Average, Gambia, The, GMB
221.418, 1943, Jul Average, Gambia, The, GMB
440.947, 1943, Aug Average, Gambia, The, GMB
302.348, 1943, Sep Average, Gambia, The, GMB
145.751, 1943, Oct Average, Gambia, The, GMB
4.52169, 1943, Nov Average, Gambia, The, GMB
1.07199, 1943, Dec Average, Gambia, The, GMB
0, 1944, Jan Average, Gambia, The, GMB
0.0172, 1944, Feb Average, Gambia, The, GMB
0.03864, 1944, Mar Average, Gambia, The, GMB
0.06694, 1944, Apr Average, Gambia, The, GMB
5.38741, 1944, May Average, Gambia, The, GMB
136.437, 1944, Jun Average, Gambia, The, GMB
175.661, 1944, Jul Average, Gambia, The, GMB
273.787, 1944, Aug Average, Gambia, The, GMB
260.318, 1944, Sep Average, Gambia, The, GMB
130.495, 1944, Oct Average, Gambia, The, GMB
12.6726, 1944, Nov Average, Gambia, The, GMB
0.03244, 1944, Dec Average, Gambia, The, GMB
0, 1945, Jan Average, Gambia, The, GMB
0, 1945, Feb Average, Gambia, The, GMB
0, 1945, Mar Average, Gambia, The, GMB
1.15925, 1945, Apr Average, Gambia, The, GMB
3.75247, 1945, May Average, Gambia, The, GMB
63.2917, 1945, Jun Average, Gambia, The, GMB
232.421, 1945, Jul Average, Gambia, The, GMB
418.682, 1945, Aug Average, Gambia, The, GMB
291.562, 1945, Sep Average, Gambia, The, GMB
64.0922, 1945, Oct Average, Gambia, The, GMB
7.69163, 1945, Nov Average, Gambia, The, GMB
0, 1945, Dec Average, Gambia, The, GMB
0, 1946, Jan Average, Gambia, The, GMB
0, 1946, Feb Average, Gambia, The, GMB
0.16982, 1946, Mar Average, Gambia, The, GMB
0.07042, 1946, Apr Average, Gambia, The, GMB
0.32843, 1946, May Average, Gambia, The, GMB
71.4285, 1946, Jun Average, Gambia, The, GMB
279.724, 1946, Jul Average, Gambia, The, GMB
399.628, 1946, Aug Average, Gambia, The, GMB
302.044, 1946, Sep Average, Gambia, The, GMB
121.184, 1946, Oct Average, Gambia, The, GMB
0.3601, 1946, Nov Average, Gambia, The, GMB
0, 1946, Dec Average, Gambia, The, GMB
0, 1947, Jan Average, Gambia, The, GMB
0, 1947, Feb Average, Gambia, The, GMB
0, 1947, Mar Average, Gambia, The, GMB
0.0005, 1947, Apr Average, Gambia, The, GMB
0.15135, 1947, May Average, Gambia, The, GMB
80.9016, 1947, Jun Average, Gambia, The, GMB
197.05, 1947, Jul Average, Gambia, The, GMB
401.281, 1947, Aug Average, Gambia, The, GMB
315.74, 1947, Sep Average, Gambia, The, GMB
