Rainfall - (MM), Year, Statistics, Country, ISO3
98.9797, 1904, Aug Average, Korea, Republic of, KOR
37.3328, 1904, Sep Average, Korea, Republic of, KOR
40.3704, 1904, Oct Average, Korea, Republic of, KOR
15.2755, 1904, Nov Average, Korea, Republic of, KOR
22.7328, 1904, Dec Average, Korea, Republic of, KOR
42.8463, 1905, Jan Average, Korea, Republic of, KOR
10.0757, 1905, Feb Average, Korea, Republic of, KOR
60.9111, 1905, Mar Average, Korea, Republic of, KOR
77.3336, 1905, Apr Average, Korea, Republic of, KOR
153.251, 1905, May Average, Korea, Republic of, KOR
124.743, 1905, Jun Average, Korea, Republic of, KOR
375.699, 1905, Jul Average, Korea, Republic of, KOR
475.374, 1905, Aug Average, Korea, Republic of, KOR
234.986, 1905, Sep Average, Korea, Republic of, KOR
40.7969, 1905, Oct Average, Korea, Republic of, KOR
29.7444, 1905, Nov Average, Korea, Republic of, KOR
60.4924, 1905, Dec Average, Korea, Republic of, KOR
43.8816, 1906, Jan Average, Korea, Republic of, KOR
44.6641, 1906, Feb Average, Korea, Republic of, KOR
45.629, 1906, Mar Average, Korea, Republic of, KOR
57.0614, 1906, Apr Average, Korea, Republic of, KOR
152.152, 1906, May Average, Korea, Republic of, KOR
138.944, 1906, Jun Average, Korea, Republic of, KOR
88.7617, 1906, Jul Average, Korea, Republic of, KOR
202.065, 1906, Aug Average, Korea, Republic of, KOR
186.647, 1906, Sep Average, Korea, Republic of, KOR
64.5323, 1906, Oct Average, Korea, Republic of, KOR
7.44743, 1906, Nov Average, Korea, Republic of, KOR
45.6761, 1906, Dec Average, Korea, Republic of, KOR
21.2835, 1907, Jan Average, Korea, Republic of, KOR
8.96351, 1907, Feb Average, Korea, Republic of, KOR
28.3912, 1907, Mar Average, Korea, Republic of, KOR
113.118, 1907, Apr Average, Korea, Republic of, KOR
107.444, 1907, May Average, Korea, Republic of, KOR
116.045, 1907, Jun Average, Korea, Republic of, KOR
187.53, 1907, Jul Average, Korea, Republic of, KOR
112.466, 1907, Aug Average, Korea, Republic of, KOR
71.7974, 1907, Sep Average, Korea, Republic of, KOR
64.5728, 1907, Oct Average, Korea, Republic of, KOR
53.4672, 1907, Nov Average, Korea, Republic of, KOR
12.0718, 1907, Dec Average, Korea, Republic of, KOR
38.2345, 1908, Jan Average, Korea, Republic of, KOR
30.7513, 1908, Feb Average, Korea, Republic of, KOR
32.7296, 1908, Mar Average, Korea, Republic of, KOR
107.809, 1908, Apr Average, Korea, Republic of, KOR
87.2139, 1908, May Average, Korea, Republic of, KOR
196.676, 1908, Jun Average, Korea, Republic of, KOR
319.41, 1908, Jul Average, Korea, Republic of, KOR
221.813, 1908, Aug Average, Korea, Republic of, KOR
62.1762, 1908, Sep Average, Korea, Republic of, KOR
58.3051, 1908, Oct Average, Korea, Republic of, KOR
14.0315, 1908, Nov Average, Korea, Republic of, KOR
21.8297, 1908, Dec Average, Korea, Republic of, KOR
24.1093, 1909, Jan Average, Korea, Republic of, KOR
16.595, 1909, Feb Average, Korea, Republic of, KOR
45.0788, 1909, Mar Average, Korea, Republic of, KOR
123.828, 1909, Apr Average, Korea, Republic of, KOR
44.1191, 1909, May Average, Korea, Republic of, KOR
143.285, 1909, Jun Average, Korea, Republic of, KOR
176.68, 1909, Jul Average, Korea, Republic of, KOR
260.562, 1909, Aug Average, Korea, Republic of, KOR
108.992, 1909, Sep Average, Korea, Republic of, KOR
62.0219, 1909, Oct Average, Korea, Republic of, KOR
41.7629, 1909, Nov Average, Korea, Republic of, KOR
27.5106, 1909, Dec Average, Korea, Republic of, KOR
44.5653, 1910, Jan Average, Korea, Republic of, KOR
7.56398, 1910, Feb Average, Korea, Republic of, KOR
58.7802, 1910, Mar Average, Korea, Republic of, KOR
77.108, 1910, Apr Average, Korea, Republic of, KOR
32.7542, 1910, May Average, Korea, Republic of, KOR
219.006, 1910, Jun Average, Korea, Republic of, KOR
419.931, 1910, Jul Average, Korea, Republic of, KOR
182.665, 1910, Aug Average, Korea, Republic of, KOR
197.74, 1910, Sep Average, Korea, Republic of, KOR
14.9664, 1910, Oct Average, Korea, Republic of, KOR
78.5516, 1910, Nov Average, Korea, Republic of, KOR
10.3397, 1910, Dec Average, Korea, Republic of, KOR
52.8767, 1911, Jan Average, Korea, Republic of, KOR
20.1758, 1911, Feb Average, Korea, Republic of, KOR
107.207, 1911, Mar Average, Korea, Republic of, KOR
91.5768, 1911, Apr Average, Korea, Republic of, KOR
59.2912, 1911, May Average, Korea, Republic of, KOR
150.316, 1911, Jun Average, Korea, Republic of, KOR
407.801, 1911, Jul Average, Korea, Republic of, KOR
149.744, 1911, Aug Average, Korea, Republic of, KOR
276.982, 1911, Sep Average, Korea, Republic of, KOR
57.1397, 1911, Oct Average, Korea, Republic of, KOR
95.9288, 1911, Nov Average, Korea, Republic of, KOR
21.7609, 1911, Dec Average, Korea, Republic of, KOR
9.83871, 1912, Jan Average, Korea, Republic of, KOR
80.7641, 1912, Feb Average, Korea, Republic of, KOR
35.9369, 1912, Mar Average, Korea, Republic of, KOR
103.103, 1912, Apr Average, Korea, Republic of, KOR
79.3222, 1912, May Average, Korea, Republic of, KOR
99.7068, 1912, Jun Average, Korea, Republic of, KOR
340.444, 1912, Jul Average, Korea, Republic of, KOR
213.153, 1912, Aug Average, Korea, Republic of, KOR
38.9287, 1912, Sep Average, Korea, Republic of, KOR
46.4674, 1912, Oct Average, Korea, Republic of, KOR
25.8706, 1912, Nov Average, Korea, Republic of, KOR
51.1536, 1912, Dec Average, Korea, Republic of, KOR
44.9422, 1913, Jan Average, Korea, Republic of, KOR
5.15995, 1913, Feb Average, Korea, Republic of, KOR
4.70436, 1913, Mar Average, Korea, Republic of, KOR
125.541, 1913, Apr Average, Korea, Republic of, KOR
126.217, 1913, May Average, Korea, Republic of, KOR
154.947, 1913, Jun Average, Korea, Republic of, KOR
198.614, 1913, Jul Average, Korea, Republic of, KOR
110.726, 1913, Aug Average, Korea, Republic of, KOR
46.6083, 1913, Sep Average, Korea, Republic of, KOR
45.1096, 1913, Oct Average, Korea, Republic of, KOR
29.7625, 1913, Nov Average, Korea, Republic of, KOR
29.6441, 1913, Dec Average, Korea, Republic of, KOR
50.5129, 1914, Jan Average, Korea, Republic of, KOR
30.0527, 1914, Feb Average, Korea, Republic of, KOR
85.3068, 1914, Mar Average, Korea, Republic of, KOR
138.344, 1914, Apr Average, Korea, Republic of, KOR
127.793, 1914, May Average, Korea, Republic of, KOR
175.256, 1914, Jun Average, Korea, Republic of, KOR
243.675, 1914, Jul Average, Korea, Republic of, KOR
222.212, 1914, Aug Average, Korea, Republic of, KOR
81.1465, 1914, Sep Average, Korea, Republic of, KOR
77.5956, 1914, Oct Average, Korea, Republic of, KOR
63.8992, 1914, Nov Average, Korea, Republic of, KOR
13.8721, 1914, Dec Average, Korea, Republic of, KOR
45.0986, 1915, Jan Average, Korea, Republic of, KOR
56.4535, 1915, Feb Average, Korea, Republic of, KOR
25.3884, 1915, Mar Average, Korea, Republic of, KOR
89.8562, 1915, Apr Average, Korea, Republic of, KOR
145.127, 1915, May Average, Korea, Republic of, KOR
184.53, 1915, Jun Average, Korea, Republic of, KOR
170.145, 1915, Jul Average, Korea, Republic of, KOR
308.168, 1915, Aug Average, Korea, Republic of, KOR
203.085, 1915, Sep Average, Korea, Republic of, KOR
73.5353, 1915, Oct Average, Korea, Republic of, KOR
58.9686, 1915, Nov Average, Korea, Republic of, KOR
6.13925, 1915, Dec Average, Korea, Republic of, KOR
44.1346, 1916, Jan Average, Korea, Republic of, KOR
59.0454, 1916, Feb Average, Korea, Republic of, KOR
13.0938, 1916, Mar Average, Korea, Republic of, KOR
192.696, 1916, Apr Average, Korea, Republic of, KOR
106.605, 1916, May Average, Korea, Republic of, KOR
445.881, 1916, Jun Average, Korea, Republic of, KOR
291.922, 1916, Jul Average, Korea, Republic of, KOR
204.98, 1916, Aug Average, Korea, Republic of, KOR
279.414, 1916, Sep Average, Korea, Republic of, KOR
50.9256, 1916, Oct Average, Korea, Republic of, KOR
50.2995, 1916, Nov Average, Korea, Republic of, KOR
14.7311, 1916, Dec Average, Korea, Republic of, KOR
16.4815, 1917, Jan Average, Korea, Republic of, KOR
14.8569, 1917, Feb Average, Korea, Republic of, KOR
50.8651, 1917, Mar Average, Korea, Republic of, KOR
59.0296, 1917, Apr Average, Korea, Republic of, KOR
45.0767, 1917, May Average, Korea, Republic of, KOR
144.919, 1917, Jun Average, Korea, Republic of, KOR
133.671, 1917, Jul Average, Korea, Republic of, KOR
214.841, 1917, Aug Average, Korea, Republic of, KOR
165.64, 1917, Sep Average, Korea, Republic of, KOR
44.4046, 1917, Oct Average, Korea, Republic of, KOR
22.3763, 1917, Nov Average, Korea, Republic of, KOR
18.5448, 1917, Dec Average, Korea, Republic of, KOR
3.4579, 1918, Jan Average, Korea, Republic of, KOR
21.0322, 1918, Feb Average, Korea, Republic of, KOR
45.8846, 1918, Mar Average, Korea, Republic of, KOR
98.2869, 1918, Apr Average, Korea, Republic of, KOR
140.032, 1918, May Average, Korea, Republic of, KOR
127.773, 1918, Jun Average, Korea, Republic of, KOR
387.245, 1918, Jul Average, Korea, Republic of, KOR
276.975, 1918, Aug Average, Korea, Republic of, KOR
86.2846, 1918, Sep Average, Korea, Republic of, KOR
70.6102, 1918, Oct Average, Korea, Republic of, KOR
61.6813, 1918, Nov Average, Korea, Republic of, KOR
20.4779, 1918, Dec Average, Korea, Republic of, KOR
45.9177, 1919, Jan Average, Korea, Republic of, KOR
11.9267, 1919, Feb Average, Korea, Republic of, KOR
28.6695, 1919, Mar Average, Korea, Republic of, KOR
64.7786, 1919, Apr Average, Korea, Republic of, KOR
86.0309, 1919, May Average, Korea, Republic of, KOR
209.061, 1919, Jun Average, Korea, Republic of, KOR
210.249, 1919, Jul Average, Korea, Republic of, KOR
299.376, 1919, Aug Average, Korea, Republic of, KOR
130.157, 1919, Sep Average, Korea, Republic of, KOR
63.3817, 1919, Oct Average, Korea, Republic of, KOR
21.6264, 1919, Nov Average, Korea, Republic of, KOR
32.4025, 1919, Dec Average, Korea, Republic of, KOR
39.2721, 1920, Jan Average, Korea, Republic of, KOR
47.3691, 1920, Feb Average, Korea, Republic of, KOR
50.0448, 1920, Mar Average, Korea, Republic of, KOR
59.8459, 1920, Apr Average, Korea, Republic of, KOR
99.8924, 1920, May Average, Korea, Republic of, KOR
140.012, 1920, Jun Average, Korea, Republic of, KOR
394.218, 1920, Jul Average, Korea, Republic of, KOR
267.975, 1920, Aug Average, Korea, Republic of, KOR
113.166, 1920, Sep Average, Korea, Republic of, KOR
29.141, 1920, Oct Average, Korea, Republic of, KOR
40.7932, 1920, Nov Average, Korea, Republic of, KOR
57.003, 1920, Dec Average, Korea, Republic of, KOR
23.4029, 1921, Jan Average, Korea, Republic of, KOR
18.8581, 1921, Feb Average, Korea, Republic of, KOR
46.196, 1921, Mar Average, Korea, Republic of, KOR
97.2479, 1921, Apr Average, Korea, Republic of, KOR
78.7168, 1921, May Average, Korea, Republic of, KOR
230.714, 1921, Jun Average, Korea, Republic of, KOR
288.659, 1921, Jul Average, Korea, Republic of, KOR
251.769, 1921, Aug Average, Korea, Republic of, KOR
107.53, 1921, Sep Average, Korea, Republic of, KOR
52.3782, 1921, Oct Average, Korea, Republic of, KOR
21.3442, 1921, Nov Average, Korea, Republic of, KOR
30.2059, 1921, Dec Average, Korea, Republic of, KOR
23.5204, 1922, Jan Average, Korea, Republic of, KOR
85.4455, 1922, Feb Average, Korea, Republic of, KOR
48.2521, 1922, Mar Average, Korea, Republic of, KOR
66.8996, 1922, Apr Average, Korea, Republic of, KOR
58.5654, 1922, May Average, Korea, Republic of, KOR
65.6762, 1922, Jun Average, Korea, Republic of, KOR
370.965, 1922, Jul Average, Korea, Republic of, KOR
265.151, 1922, Aug Average, Korea, Republic of, KOR
137.245, 1922, Sep Average, Korea, Republic of, KOR
100.962, 1922, Oct Average, Korea, Republic of, KOR
46.1405, 1922, Nov Average, Korea, Republic of, KOR
11.9206, 1922, Dec Average, Korea, Republic of, KOR
67.497, 1923, Jan Average, Korea, Republic of, KOR
33.4733, 1923, Feb Average, Korea, Republic of, KOR
64.6746, 1923, Mar Average, Korea, Republic of, KOR
128.331, 1923, Apr Average, Korea, Republic of, KOR
115.743, 1923, May Average, Korea, Republic of, KOR
216.115, 1923, Jun Average, Korea, Republic of, KOR
279.071, 1923, Jul Average, Korea, Republic of, KOR
150.259, 1923, Aug Average, Korea, Republic of, KOR
134.87, 1923, Sep Average, Korea, Republic of, KOR
55.9504, 1923, Oct Average, Korea, Republic of, KOR
72.1927, 1923, Nov Average, Korea, Republic of, KOR
18.1017, 1923, Dec Average, Korea, Republic of, KOR
11.2431, 1924, Jan Average, Korea, Republic of, KOR
56.8964, 1924, Feb Average, Korea, Republic of, KOR
27.0141, 1924, Mar Average, Korea, Republic of, KOR
99.5734, 1924, Apr Average, Korea, Republic of, KOR
73.1081, 1924, May Average, Korea, Republic of, KOR
119.971, 1924, Jun Average, Korea, Republic of, KOR
292.234, 1924, Jul Average, Korea, Republic of, KOR
119.205, 1924, Aug Average, Korea, Republic of, KOR
112.106, 1924, Sep Average, Korea, Republic of, KOR
49.4351, 1924, Oct Average, Korea, Republic of, KOR
45.461, 1924, Nov Average, Korea, Republic of, KOR
21.1829, 1924, Dec Average, Korea, Republic of, KOR
10.0916, 1925, Jan Average, Korea, Republic of, KOR
21.0922, 1925, Feb Average, Korea, Republic of, KOR
41.3645, 1925, Mar Average, Korea, Republic of, KOR
45.4705, 1925, Apr Average, Korea, Republic of, KOR
134.482, 1925, May Average, Korea, Republic of, KOR
144.661, 1925, Jun Average, Korea, Republic of, KOR
569.765, 1925, Jul Average, Korea, Republic of, KOR
318.838, 1925, Aug Average, Korea, Republic of, KOR
179.47, 1925, Sep Average, Korea, Republic of, KOR
36.0875, 1925, Oct Average, Korea, Republic of, KOR
44.4112, 1925, Nov Average, Korea, Republic of, KOR
60.2854, 1925, Dec Average, Korea, Republic of, KOR
26.8131, 1926, Jan Average, Korea, Republic of, KOR
28.5417, 1926, Feb Average, Korea, Republic of, KOR
24.8809, 1926, Mar Average, Korea, Republic of, KOR
69.0542, 1926, Apr Average, Korea, Republic of, KOR
164.93, 1926, May Average, Korea, Republic of, KOR
60.1587, 1926, Jun Average, Korea, Republic of, KOR
453.727, 1926, Jul Average, Korea, Republic of, KOR
197.929, 1926, Aug Average, Korea, Republic of, KOR
273.32, 1926, Sep Average, Korea, Republic of, KOR
70.2861, 1926, Oct Average, Korea, Republic of, KOR
28.6197, 1926, Nov Average, Korea, Republic of, KOR
28.632, 1926, Dec Average, Korea, Republic of, KOR
58.9867, 1927, Jan Average, Korea, Republic of, KOR
11.0874, 1927, Feb Average, Korea, Republic of, KOR
61.9264, 1927, Mar Average, Korea, Republic of, KOR
111.555, 1927, Apr Average, Korea, Republic of, KOR
91.2826, 1927, May Average, Korea, Republic of, KOR
81.8225, 1927, Jun Average, Korea, Republic of, KOR
277.096, 1927, Jul Average, Korea, Republic of, KOR
283.011, 1927, Aug Average, Korea, Republic of, KOR
85.7329, 1927, Sep Average, Korea, Republic of, KOR
81.9291, 1927, Oct Average, Korea, Republic of, KOR
20.9479, 1927, Nov Average, Korea, Republic of, KOR
38.177, 1927, Dec Average, Korea, Republic of, KOR
59.1913, 1928, Jan Average, Korea, Republic of, KOR
23.8249, 1928, Feb Average, Korea, Republic of, KOR
43.432, 1928, Mar Average, Korea, Republic of, KOR
73.9076, 1928, Apr Average, Korea, Republic of, KOR
55.0072, 1928, May Average, Korea, Republic of, KOR
184.22, 1928, Jun Average, Korea, Republic of, KOR
158.412, 1928, Jul Average, Korea, Republic of, KOR
178.613, 1928, Aug Average, Korea, Republic of, KOR
240.051, 1928, Sep Average, Korea, Republic of, KOR
30.0296, 1928, Oct Average, Korea, Republic of, KOR
52.1753, 1928, Nov Average, Korea, Republic of, KOR
29.7102, 1928, Dec Average, Korea, Republic of, KOR
15.2453, 1929, Jan Average, Korea, Republic of, KOR
22.2736, 1929, Feb Average, Korea, Republic of, KOR
34.1946, 1929, Mar Average, Korea, Republic of, KOR
68.597, 1929, Apr Average, Korea, Republic of, KOR
44.9701, 1929, May Average, Korea, Republic of, KOR
187.018, 1929, Jun Average, Korea, Republic of, KOR
149.386, 1929, Jul Average, Korea, Republic of, KOR
205.958, 1929, Aug Average, Korea, Republic of, KOR
70.4134, 1929, Sep Average, Korea, Republic of, KOR
22.9732, 1929, Oct Average, Korea, Republic of, KOR
39.2448, 1929, Nov Average, Korea, Republic of, KOR
67.4178, 1929, Dec Average, Korea, Republic of, KOR
8.14194, 1930, Jan Average, Korea, Republic of, KOR
61.1273, 1930, Feb Average, Korea, Republic of, KOR
116.762, 1930, Mar Average, Korea, Republic of, KOR
152.591, 1930, Apr Average, Korea, Republic of, KOR
129.985, 1930, May Average, Korea, Republic of, KOR
243.693, 1930, Jun Average, Korea, Republic of, KOR
428.381, 1930, Jul Average, Korea, Republic of, KOR
252.158, 1930, Aug Average, Korea, Republic of, KOR
67.5273, 1930, Sep Average, Korea, Republic of, KOR
74.0007, 1930, Oct Average, Korea, Republic of, KOR
52.7679, 1930, Nov Average, Korea, Republic of, KOR
8.48576, 1930, Dec Average, Korea, Republic of, KOR
51.1481, 1931, Jan Average, Korea, Republic of, KOR
51.421, 1931, Feb Average, Korea, Republic of, KOR
49.9101, 1931, Mar Average, Korea, Republic of, KOR
133.078, 1931, Apr Average, Korea, Republic of, KOR
104.993, 1931, May Average, Korea, Republic of, KOR
79.6223, 1931, Jun Average, Korea, Republic of, KOR
332.037, 1931, Jul Average, Korea, Republic of, KOR
311.593, 1931, Aug Average, Korea, Republic of, KOR
152.917, 1931, Sep Average, Korea, Republic of, KOR
17.8134, 1931, Oct Average, Korea, Republic of, KOR
46.2139, 1931, Nov Average, Korea, Republic of, KOR
67.1437, 1931, Dec Average, Korea, Republic of, KOR
17.1454, 1932, Jan Average, Korea, Republic of, KOR
45.4357, 1932, Feb Average, Korea, Republic of, KOR
22.5299, 1932, Mar Average, Korea, Republic of, KOR
70.3359, 1932, Apr Average, Korea, Republic of, KOR
87.4578, 1932, May Average, Korea, Republic of, KOR
127.161, 1932, Jun Average, Korea, Republic of, KOR
112.47, 1932, Jul Average, Korea, Republic of, KOR
274.402, 1932, Aug Average, Korea, Republic of, KOR
67.5477, 1932, Sep Average, Korea, Republic of, KOR
33.3655, 1932, Oct Average, Korea, Republic of, KOR
30.6711, 1932, Nov Average, Korea, Republic of, KOR
44.1419, 1932, Dec Average, Korea, Republic of, KOR
30.1132, 1933, Jan Average, Korea, Republic of, KOR
24.3508, 1933, Feb Average, Korea, Republic of, KOR
48.9777, 1933, Mar Average, Korea, Republic of, KOR
84.3358, 1933, Apr Average, Korea, Republic of, KOR
141.83, 1933, May Average, Korea, Republic of, KOR
288.162, 1933, Jun Average, Korea, Republic of, KOR
321.041, 1933, Jul Average, Korea, Republic of, KOR
269.363, 1933, Aug Average, Korea, Republic of, KOR
204.562, 1933, Sep Average, Korea, Republic of, KOR
104.435, 1933, Oct Average, Korea, Republic of, KOR
33.8319, 1933, Nov Average, Korea, Republic of, KOR
31.1073, 1933, Dec Average, Korea, Republic of, KOR
6.88464, 1934, Jan Average, Korea, Republic of, KOR
22.8615, 1934, Feb Average, Korea, Republic of, KOR
54.9881, 1934, Mar Average, Korea, Republic of, KOR
71.3595, 1934, Apr Average, Korea, Republic of, KOR
115.098, 1934, May Average, Korea, Republic of, KOR
157.916, 1934, Jun Average, Korea, Republic of, KOR
516.868, 1934, Jul Average, Korea, Republic of, KOR
235.079, 1934, Aug Average, Korea, Republic of, KOR
217.337, 1934, Sep Average, Korea, Republic of, KOR
39.7974, 1934, Oct Average, Korea, Republic of, KOR
47.2917, 1934, Nov Average, Korea, Republic of, KOR
57.6342, 1934, Dec Average, Korea, Republic of, KOR
14.3221, 1935, Jan Average, Korea, Republic of, KOR
19.8819, 1935, Feb Average, Korea, Republic of, KOR
31.8893, 1935, Mar Average, Korea, Republic of, KOR
100.816, 1935, Apr Average, Korea, Republic of, KOR
86.217, 1935, May Average, Korea, Republic of, KOR
201.206, 1935, Jun Average, Korea, Republic of, KOR
254.925, 1935, Jul Average, Korea, Republic of, KOR
184.006, 1935, Aug Average, Korea, Republic of, KOR
108.272, 1935, Sep Average, Korea, Republic of, KOR
57.6085, 1935, Oct Average, Korea, Republic of, KOR
59.9836, 1935, Nov Average, Korea, Republic of, KOR
27.1072, 1935, Dec Average, Korea, Republic of, KOR
10.8347, 1936, Jan Average, Korea, Republic of, KOR
26.1122, 1936, Feb Average, Korea, Republic of, KOR
29.6728, 1936, Mar Average, Korea, Republic of, KOR
143.466, 1936, Apr Average, Korea, Republic of, KOR
58.2801, 1936, May Average, Korea, Republic of, KOR
137.909, 1936, Jun Average, Korea, Republic of, KOR
282.791, 1936, Jul Average, Korea, Republic of, KOR
595.255, 1936, Aug Average, Korea, Republic of, KOR
260.063, 1936, Sep Average, Korea, Republic of, KOR
11.9277, 1936, Oct Average, Korea, Republic of, KOR
25.4427, 1936, Nov Average, Korea, Republic of, KOR
64.5689, 1936, Dec Average, Korea, Republic of, KOR
24.4031, 1937, Jan Average, Korea, Republic of, KOR
64.1689, 1937, Feb Average, Korea, Republic of, KOR
69.2187, 1937, Mar Average, Korea, Republic of, KOR
132.557, 1937, Apr Average, Korea, Republic of, KOR
86.7121, 1937, May Average, Korea, Republic of, KOR
111.888, 1937, Jun Average, Korea, Republic of, KOR
200.532, 1937, Jul Average, Korea, Republic of, KOR
132.163, 1937, Aug Average, Korea, Republic of, KOR
147.541, 1937, Sep Average, Korea, Republic of, KOR
78.7502, 1937, Oct Average, Korea, Republic of, KOR
42.5604, 1937, Nov Average, Korea, Republic of, KOR
24.3539, 1937, Dec Average, Korea, Republic of, KOR
22.9723, 1938, Jan Average, Korea, Republic of, KOR
29.8785, 1938, Feb Average, Korea, Republic of, KOR
99.0286, 1938, Mar Average, Korea, Republic of, KOR
16.7876, 1938, Apr Average, Korea, Republic of, KOR
196.576, 1938, May Average, Korea, Republic of, KOR
153.177, 1938, Jun Average, Korea, Republic of, KOR
142.167, 1938, Jul Average, Korea, Republic of, KOR
169.603, 1938, Aug Average, Korea, Republic of, KOR
84.2422, 1938, Sep Average, Korea, Republic of, KOR
137.89, 1938, Oct Average, Korea, Republic of, KOR
20.0485, 1938, Nov Average, Korea, Republic of, KOR
21.1141, 1938, Dec Average, Korea, Republic of, KOR
15.7668, 1939, Jan Average, Korea, Republic of, KOR
19.0146, 1939, Feb Average, Korea, Republic of, KOR
51.4662, 1939, Mar Average, Korea, Republic of, KOR
65.532, 1939, Apr Average, Korea, Republic of, KOR
69.0208, 1939, May Average, Korea, Republic of, KOR
104.329, 1939, Jun Average, Korea, Republic of, KOR
93.8529, 1939, Jul Average, Korea, Republic of, KOR
132.289, 1939, Aug Average, Korea, Republic of, KOR
113.826, 1939, Sep Average, Korea, Republic of, KOR
59.0392, 1939, Oct Average, Korea, Republic of, KOR
66.1568, 1939, Nov Average, Korea, Republic of, KOR
4.94892, 1939, Dec Average, Korea, Republic of, KOR
12.913, 1940, Jan Average, Korea, Republic of, KOR
37.7051, 1940, Feb Average, Korea, Republic of, KOR
19.6692, 1940, Mar Average, Korea, Republic of, KOR
73.8841, 1940, Apr Average, Korea, Republic of, KOR
40.5005, 1940, May Average, Korea, Republic of, KOR
171.948, 1940, Jun Average, Korea, Republic of, KOR
327.482, 1940, Jul Average, Korea, Republic of, KOR
139.03, 1940, Aug Average, Korea, Republic of, KOR
188.165, 1940, Sep Average, Korea, Republic of, KOR
78.7263, 1940, Oct Average, Korea, Republic of, KOR
31.7341, 1940, Nov Average, Korea, Republic of, KOR
30.2894, 1940, Dec Average, Korea, Republic of, KOR
20.0985, 1941, Jan Average, Korea, Republic of, KOR
18.106, 1941, Feb Average, Korea, Republic of, KOR
58.668, 1941, Mar Average, Korea, Republic of, KOR
53.6282, 1941, Apr Average, Korea, Republic of, KOR
146.304, 1941, May Average, Korea, Republic of, KOR
253.149, 1941, Jun Average, Korea, Republic of, KOR
295.285, 1941, Jul Average, Korea, Republic of, KOR
300.389, 1941, Aug Average, Korea, Republic of, KOR
108.443, 1941, Sep Average, Korea, Republic of, KOR
49.4987, 1941, Oct Average, Korea, Republic of, KOR
68.3561, 1941, Nov Average, Korea, Republic of, KOR
26.3866, 1941, Dec Average, Korea, Republic of, KOR
14.37, 1942, Jan Average, Korea, Republic of, KOR
31.081, 1942, Feb Average, Korea, Republic of, KOR
133.151, 1942, Mar Average, Korea, Republic of, KOR
75.1461, 1942, Apr Average, Korea, Republic of, KOR
62.1443, 1942, May Average, Korea, Republic of, KOR
74.6195, 1942, Jun Average, Korea, Republic of, KOR
74.4432, 1942, Jul Average, Korea, Republic of, KOR
302.201, 1942, Aug Average, Korea, Republic of, KOR
257.888, 1942, Sep Average, Korea, Republic of, KOR
23.4692, 1942, Oct Average, Korea, Republic of, KOR
19.5549, 1942, Nov Average, Korea, Republic of, KOR
10.3758, 1942, Dec Average, Korea, Republic of, KOR
4.46117, 1943, Jan Average, Korea, Republic of, KOR
16.487, 1943, Feb Average, Korea, Republic of, KOR
56.1518, 1943, Mar Average, Korea, Republic of, KOR
37.5654, 1943, Apr Average, Korea, Republic of, KOR
