Temperature - (Celsius), Year, Statistics, Country, ISO3
24.0722, 1912, Dec Average, Gambia, The, GMB
24.5178, 1913, Jan Average, Gambia, The, GMB
26.6372, 1913, Feb Average, Gambia, The, GMB
27.6139, 1913, Mar Average, Gambia, The, GMB
29.3285, 1913, Apr Average, Gambia, The, GMB
28.7664, 1913, May Average, Gambia, The, GMB
29.7825, 1913, Jun Average, Gambia, The, GMB
27.8181, 1913, Jul Average, Gambia, The, GMB
27.2663, 1913, Aug Average, Gambia, The, GMB
27.2365, 1913, Sep Average, Gambia, The, GMB
28.2781, 1913, Oct Average, Gambia, The, GMB
27.6727, 1913, Nov Average, Gambia, The, GMB
25.4346, 1913, Dec Average, Gambia, The, GMB
24.4414, 1914, Jan Average, Gambia, The, GMB
25.7884, 1914, Feb Average, Gambia, The, GMB
27.8672, 1914, Mar Average, Gambia, The, GMB
28.7205, 1914, Apr Average, Gambia, The, GMB
30.1033, 1914, May Average, Gambia, The, GMB
28.63, 1914, Jun Average, Gambia, The, GMB
27.417, 1914, Jul Average, Gambia, The, GMB
26.6565, 1914, Aug Average, Gambia, The, GMB
26.8852, 1914, Sep Average, Gambia, The, GMB
28.2008, 1914, Oct Average, Gambia, The, GMB
26.4051, 1914, Nov Average, Gambia, The, GMB
23.8885, 1914, Dec Average, Gambia, The, GMB
25.1095, 1915, Jan Average, Gambia, The, GMB
25.8455, 1915, Feb Average, Gambia, The, GMB
26.7963, 1915, Mar Average, Gambia, The, GMB
28.8826, 1915, Apr Average, Gambia, The, GMB
29.4592, 1915, May Average, Gambia, The, GMB
30.6051, 1915, Jun Average, Gambia, The, GMB
28.5672, 1915, Jul Average, Gambia, The, GMB
27.1489, 1915, Aug Average, Gambia, The, GMB
27.5012, 1915, Sep Average, Gambia, The, GMB
29.126, 1915, Oct Average, Gambia, The, GMB
27.1884, 1915, Nov Average, Gambia, The, GMB
25.8969, 1915, Dec Average, Gambia, The, GMB
24.5289, 1916, Jan Average, Gambia, The, GMB
25.7317, 1916, Feb Average, Gambia, The, GMB
26.6321, 1916, Mar Average, Gambia, The, GMB
27.8242, 1916, Apr Average, Gambia, The, GMB
28.9134, 1916, May Average, Gambia, The, GMB
29.2577, 1916, Jun Average, Gambia, The, GMB
27.3638, 1916, Jul Average, Gambia, The, GMB
27.1732, 1916, Aug Average, Gambia, The, GMB
27.068, 1916, Sep Average, Gambia, The, GMB
28.6135, 1916, Oct Average, Gambia, The, GMB
26.6563, 1916, Nov Average, Gambia, The, GMB
24.4165, 1916, Dec Average, Gambia, The, GMB
25.4317, 1917, Jan Average, Gambia, The, GMB
25.3908, 1917, Feb Average, Gambia, The, GMB
28.0978, 1917, Mar Average, Gambia, The, GMB
28.452, 1917, Apr Average, Gambia, The, GMB
29.3778, 1917, May Average, Gambia, The, GMB
28.8929, 1917, Jun Average, Gambia, The, GMB
28.6953, 1917, Jul Average, Gambia, The, GMB
27.0486, 1917, Aug Average, Gambia, The, GMB
26.9581, 1917, Sep Average, Gambia, The, GMB
27.5083, 1917, Oct Average, Gambia, The, GMB
25.9362, 1917, Nov Average, Gambia, The, GMB
23.8329, 1917, Dec Average, Gambia, The, GMB
25.3467, 1918, Jan Average, Gambia, The, GMB
26.6783, 1918, Feb Average, Gambia, The, GMB
27.5778, 1918, Mar Average, Gambia, The, GMB
28.9311, 1918, Apr Average, Gambia, The, GMB
30.2916, 1918, May Average, Gambia, The, GMB
30.3107, 1918, Jun Average, Gambia, The, GMB
27.9957, 1918, Jul Average, Gambia, The, GMB
27.1084, 1918, Aug Average, Gambia, The, GMB
27.3577, 1918, Sep Average, Gambia, The, GMB
27.9703, 1918, Oct Average, Gambia, The, GMB
26.1851, 1918, Nov Average, Gambia, The, GMB
24.1198, 1918, Dec Average, Gambia, The, GMB
24.8304, 1919, Jan Average, Gambia, The, GMB
27.8862, 1919, Feb Average, Gambia, The, GMB
29.1868, 1919, Mar Average, Gambia, The, GMB
28.7061, 1919, Apr Average, Gambia, The, GMB
29.4058, 1919, May Average, Gambia, The, GMB
30.341, 1919, Jun Average, Gambia, The, GMB
28.2182, 1919, Jul Average, Gambia, The, GMB
27.6635, 1919, Aug Average, Gambia, The, GMB
27.4537, 1919, Sep Average, Gambia, The, GMB
28.6995, 1919, Oct Average, Gambia, The, GMB
28.3616, 1919, Nov Average, Gambia, The, GMB
24.6583, 1919, Dec Average, Gambia, The, GMB
24.9508, 1920, Jan Average, Gambia, The, GMB
25.3682, 1920, Feb Average, Gambia, The, GMB
27.353, 1920, Mar Average, Gambia, The, GMB
29.5916, 1920, Apr Average, Gambia, The, GMB
29.6643, 1920, May Average, Gambia, The, GMB
29.3797, 1920, Jun Average, Gambia, The, GMB
27.2046, 1920, Jul Average, Gambia, The, GMB
26.8026, 1920, Aug Average, Gambia, The, GMB
26.8694, 1920, Sep Average, Gambia, The, GMB
28.1957, 1920, Oct Average, Gambia, The, GMB
26.3613, 1920, Nov Average, Gambia, The, GMB
24.3103, 1920, Dec Average, Gambia, The, GMB
24.5888, 1921, Jan Average, Gambia, The, GMB
25.3134, 1921, Feb Average, Gambia, The, GMB
26.6695, 1921, Mar Average, Gambia, The, GMB
29.1639, 1921, Apr Average, Gambia, The, GMB
28.9509, 1921, May Average, Gambia, The, GMB
29.0776, 1921, Jun Average, Gambia, The, GMB
27.6042, 1921, Jul Average, Gambia, The, GMB
27.1182, 1921, Aug Average, Gambia, The, GMB
27.4788, 1921, Sep Average, Gambia, The, GMB
28.2887, 1921, Oct Average, Gambia, The, GMB
26.2016, 1921, Nov Average, Gambia, The, GMB
23.6709, 1921, Dec Average, Gambia, The, GMB
23.5763, 1922, Jan Average, Gambia, The, GMB
25.8581, 1922, Feb Average, Gambia, The, GMB
26.5177, 1922, Mar Average, Gambia, The, GMB
27.0076, 1922, Apr Average, Gambia, The, GMB
28.6659, 1922, May Average, Gambia, The, GMB
28.0771, 1922, Jun Average, Gambia, The, GMB
26.9384, 1922, Jul Average, Gambia, The, GMB
26.912, 1922, Aug Average, Gambia, The, GMB
26.5699, 1922, Sep Average, Gambia, The, GMB
27.8664, 1922, Oct Average, Gambia, The, GMB
27.0406, 1922, Nov Average, Gambia, The, GMB
24.4313, 1922, Dec Average, Gambia, The, GMB
23.8139, 1923, Jan Average, Gambia, The, GMB
26.6257, 1923, Feb Average, Gambia, The, GMB
26.7821, 1923, Mar Average, Gambia, The, GMB
28.8435, 1923, Apr Average, Gambia, The, GMB
29.1961, 1923, May Average, Gambia, The, GMB
28.9562, 1923, Jun Average, Gambia, The, GMB
27.8835, 1923, Jul Average, Gambia, The, GMB
27.1326, 1923, Aug Average, Gambia, The, GMB
27.2967, 1923, Sep Average, Gambia, The, GMB
28.6075, 1923, Oct Average, Gambia, The, GMB
27.1808, 1923, Nov Average, Gambia, The, GMB
25.1072, 1923, Dec Average, Gambia, The, GMB
22.3413, 1924, Jan Average, Gambia, The, GMB
24.7385, 1924, Feb Average, Gambia, The, GMB
28.0746, 1924, Mar Average, Gambia, The, GMB
28.9119, 1924, Apr Average, Gambia, The, GMB
30.2281, 1924, May Average, Gambia, The, GMB
28.7777, 1924, Jun Average, Gambia, The, GMB
27.6273, 1924, Jul Average, Gambia, The, GMB
26.9657, 1924, Aug Average, Gambia, The, GMB
26.5444, 1924, Sep Average, Gambia, The, GMB
27.4463, 1924, Oct Average, Gambia, The, GMB
27.0531, 1924, Nov Average, Gambia, The, GMB
23.8255, 1924, Dec Average, Gambia, The, GMB
23.0959, 1925, Jan Average, Gambia, The, GMB
26.0889, 1925, Feb Average, Gambia, The, GMB
27.1597, 1925, Mar Average, Gambia, The, GMB
28.6316, 1925, Apr Average, Gambia, The, GMB
30.4445, 1925, May Average, Gambia, The, GMB
29.0471, 1925, Jun Average, Gambia, The, GMB
28.1261, 1925, Jul Average, Gambia, The, GMB
26.7998, 1925, Aug Average, Gambia, The, GMB
26.8832, 1925, Sep Average, Gambia, The, GMB
27.4071, 1925, Oct Average, Gambia, The, GMB
26.8454, 1925, Nov Average, Gambia, The, GMB
25.974, 1925, Dec Average, Gambia, The, GMB
23.7457, 1926, Jan Average, Gambia, The, GMB
26.0653, 1926, Feb Average, Gambia, The, GMB
28.2709, 1926, Mar Average, Gambia, The, GMB
28.8748, 1926, Apr Average, Gambia, The, GMB
29.3179, 1926, May Average, Gambia, The, GMB
29.9545, 1926, Jun Average, Gambia, The, GMB
27.9072, 1926, Jul Average, Gambia, The, GMB
27.4249, 1926, Aug Average, Gambia, The, GMB
27.2769, 1926, Sep Average, Gambia, The, GMB
28.5218, 1926, Oct Average, Gambia, The, GMB
27.0364, 1926, Nov Average, Gambia, The, GMB
25.1368, 1926, Dec Average, Gambia, The, GMB
22.5672, 1927, Jan Average, Gambia, The, GMB
26.119, 1927, Feb Average, Gambia, The, GMB
27.392, 1927, Mar Average, Gambia, The, GMB
29.5505, 1927, Apr Average, Gambia, The, GMB
29.7266, 1927, May Average, Gambia, The, GMB
28.8358, 1927, Jun Average, Gambia, The, GMB
27.7223, 1927, Jul Average, Gambia, The, GMB
26.4097, 1927, Aug Average, Gambia, The, GMB
26.8478, 1927, Sep Average, Gambia, The, GMB
27.776, 1927, Oct Average, Gambia, The, GMB
27.5419, 1927, Nov Average, Gambia, The, GMB
24.5687, 1927, Dec Average, Gambia, The, GMB
22.1091, 1928, Jan Average, Gambia, The, GMB
24.7209, 1928, Feb Average, Gambia, The, GMB
26.8711, 1928, Mar Average, Gambia, The, GMB
28.0679, 1928, Apr Average, Gambia, The, GMB
29.4307, 1928, May Average, Gambia, The, GMB
29.8909, 1928, Jun Average, Gambia, The, GMB
28.0787, 1928, Jul Average, Gambia, The, GMB
26.6731, 1928, Aug Average, Gambia, The, GMB
26.8714, 1928, Sep Average, Gambia, The, GMB
27.9691, 1928, Oct Average, Gambia, The, GMB
26.1629, 1928, Nov Average, Gambia, The, GMB
24.0896, 1928, Dec Average, Gambia, The, GMB
23.9864, 1929, Jan Average, Gambia, The, GMB
25.9489, 1929, Feb Average, Gambia, The, GMB
26.2392, 1929, Mar Average, Gambia, The, GMB
28.1799, 1929, Apr Average, Gambia, The, GMB
28.5564, 1929, May Average, Gambia, The, GMB
28.2871, 1929, Jun Average, Gambia, The, GMB
27.4926, 1929, Jul Average, Gambia, The, GMB
26.2668, 1929, Aug Average, Gambia, The, GMB
26.4808, 1929, Sep Average, Gambia, The, GMB
27.9248, 1929, Oct Average, Gambia, The, GMB
26.5199, 1929, Nov Average, Gambia, The, GMB
23.8853, 1929, Dec Average, Gambia, The, GMB
23.1162, 1930, Jan Average, Gambia, The, GMB
24.292, 1930, Feb Average, Gambia, The, GMB
25.7022, 1930, Mar Average, Gambia, The, GMB
28.0326, 1930, Apr Average, Gambia, The, GMB
28.6355, 1930, May Average, Gambia, The, GMB
28.3114, 1930, Jun Average, Gambia, The, GMB
27.8843, 1930, Jul Average, Gambia, The, GMB
26.5713, 1930, Aug Average, Gambia, The, GMB
27.3297, 1930, Sep Average, Gambia, The, GMB
28.3889, 1930, Oct Average, Gambia, The, GMB
27.8624, 1930, Nov Average, Gambia, The, GMB
24.2135, 1930, Dec Average, Gambia, The, GMB
24.2943, 1931, Jan Average, Gambia, The, GMB
26.0321, 1931, Feb Average, Gambia, The, GMB
28.1192, 1931, Mar Average, Gambia, The, GMB
29.6565, 1931, Apr Average, Gambia, The, GMB
29.768, 1931, May Average, Gambia, The, GMB
28.7071, 1931, Jun Average, Gambia, The, GMB
27.4266, 1931, Jul Average, Gambia, The, GMB
27.6986, 1931, Aug Average, Gambia, The, GMB
26.7935, 1931, Sep Average, Gambia, The, GMB
28.5424, 1931, Oct Average, Gambia, The, GMB
27.4172, 1931, Nov Average, Gambia, The, GMB
24.7153, 1931, Dec Average, Gambia, The, GMB
24.2127, 1932, Jan Average, Gambia, The, GMB
26.0154, 1932, Feb Average, Gambia, The, GMB
27.1552, 1932, Mar Average, Gambia, The, GMB
29.8073, 1932, Apr Average, Gambia, The, GMB
29.9204, 1932, May Average, Gambia, The, GMB
29.7733, 1932, Jun Average, Gambia, The, GMB
27.8001, 1932, Jul Average, Gambia, The, GMB
26.6428, 1932, Aug Average, Gambia, The, GMB
27.3051, 1932, Sep Average, Gambia, The, GMB
28.5253, 1932, Oct Average, Gambia, The, GMB
27.2406, 1932, Nov Average, Gambia, The, GMB
23.632, 1932, Dec Average, Gambia, The, GMB
24.3071, 1933, Jan Average, Gambia, The, GMB
26.183, 1933, Feb Average, Gambia, The, GMB
28.4746, 1933, Mar Average, Gambia, The, GMB
30.0911, 1933, Apr Average, Gambia, The, GMB
30.4798, 1933, May Average, Gambia, The, GMB
29.0796, 1933, Jun Average, Gambia, The, GMB
27.7523, 1933, Jul Average, Gambia, The, GMB
27.1888, 1933, Aug Average, Gambia, The, GMB
27.4708, 1933, Sep Average, Gambia, The, GMB
28.1964, 1933, Oct Average, Gambia, The, GMB
26.2171, 1933, Nov Average, Gambia, The, GMB
23.3182, 1933, Dec Average, Gambia, The, GMB
24.0841, 1934, Jan Average, Gambia, The, GMB
25.7992, 1934, Feb Average, Gambia, The, GMB
27.3586, 1934, Mar Average, Gambia, The, GMB
29.0752, 1934, Apr Average, Gambia, The, GMB
29.6468, 1934, May Average, Gambia, The, GMB
29.1025, 1934, Jun Average, Gambia, The, GMB
27.8927, 1934, Jul Average, Gambia, The, GMB
26.8809, 1934, Aug Average, Gambia, The, GMB
27.3389, 1934, Sep Average, Gambia, The, GMB
28.0054, 1934, Oct Average, Gambia, The, GMB
26.3516, 1934, Nov Average, Gambia, The, GMB
24.0294, 1934, Dec Average, Gambia, The, GMB
24.3527, 1935, Jan Average, Gambia, The, GMB
25.5191, 1935, Feb Average, Gambia, The, GMB
26.7981, 1935, Mar Average, Gambia, The, GMB
28.9943, 1935, Apr Average, Gambia, The, GMB
30.0868, 1935, May Average, Gambia, The, GMB
29.0867, 1935, Jun Average, Gambia, The, GMB
27.7692, 1935, Jul Average, Gambia, The, GMB
26.4765, 1935, Aug Average, Gambia, The, GMB
27.3858, 1935, Sep Average, Gambia, The, GMB
27.5234, 1935, Oct Average, Gambia, The, GMB
26.2762, 1935, Nov Average, Gambia, The, GMB
24.8059, 1935, Dec Average, Gambia, The, GMB
25.148, 1936, Jan Average, Gambia, The, GMB
25.8225, 1936, Feb Average, Gambia, The, GMB
27.975, 1936, Mar Average, Gambia, The, GMB
29.4164, 1936, Apr Average, Gambia, The, GMB
29.416, 1936, May Average, Gambia, The, GMB
29.5609, 1936, Jun Average, Gambia, The, GMB
27.8595, 1936, Jul Average, Gambia, The, GMB
26.5841, 1936, Aug Average, Gambia, The, GMB
27.1054, 1936, Sep Average, Gambia, The, GMB
28.4479, 1936, Oct Average, Gambia, The, GMB
26.6134, 1936, Nov Average, Gambia, The, GMB
25.1485, 1936, Dec Average, Gambia, The, GMB
24.4463, 1937, Jan Average, Gambia, The, GMB
26.8433, 1937, Feb Average, Gambia, The, GMB
27.9324, 1937, Mar Average, Gambia, The, GMB
28.2657, 1937, Apr Average, Gambia, The, GMB
29.6357, 1937, May Average, Gambia, The, GMB
29.8181, 1937, Jun Average, Gambia, The, GMB
27.7198, 1937, Jul Average, Gambia, The, GMB
26.8787, 1937, Aug Average, Gambia, The, GMB
27.1452, 1937, Sep Average, Gambia, The, GMB
28.0392, 1937, Oct Average, Gambia, The, GMB
27.7519, 1937, Nov Average, Gambia, The, GMB
25.5355, 1937, Dec Average, Gambia, The, GMB
24.4631, 1938, Jan Average, Gambia, The, GMB
27.2094, 1938, Feb Average, Gambia, The, GMB
28.0527, 1938, Mar Average, Gambia, The, GMB
29.3834, 1938, Apr Average, Gambia, The, GMB
30.8387, 1938, May Average, Gambia, The, GMB
29.8126, 1938, Jun Average, Gambia, The, GMB
27.7831, 1938, Jul Average, Gambia, The, GMB
27.2883, 1938, Aug Average, Gambia, The, GMB
27.0859, 1938, Sep Average, Gambia, The, GMB
27.8754, 1938, Oct Average, Gambia, The, GMB
27.3044, 1938, Nov Average, Gambia, The, GMB
23.7141, 1938, Dec Average, Gambia, The, GMB
24.5933, 1939, Jan Average, Gambia, The, GMB
25.1516, 1939, Feb Average, Gambia, The, GMB
27.2798, 1939, Mar Average, Gambia, The, GMB
29.4074, 1939, Apr Average, Gambia, The, GMB
29.5957, 1939, May Average, Gambia, The, GMB
29.9744, 1939, Jun Average, Gambia, The, GMB
28.062, 1939, Jul Average, Gambia, The, GMB
26.8825, 1939, Aug Average, Gambia, The, GMB
27.26, 1939, Sep Average, Gambia, The, GMB
27.8189, 1939, Oct Average, Gambia, The, GMB
26.7847, 1939, Nov Average, Gambia, The, GMB
24.8767, 1939, Dec Average, Gambia, The, GMB
24.5477, 1940, Jan Average, Gambia, The, GMB
25.7262, 1940, Feb Average, Gambia, The, GMB
28.4455, 1940, Mar Average, Gambia, The, GMB
28.5023, 1940, Apr Average, Gambia, The, GMB
30.2006, 1940, May Average, Gambia, The, GMB
30.3601, 1940, Jun Average, Gambia, The, GMB
28.3293, 1940, Jul Average, Gambia, The, GMB
26.8704, 1940, Aug Average, Gambia, The, GMB
27.5856, 1940, Sep Average, Gambia, The, GMB
27.3318, 1940, Oct Average, Gambia, The, GMB
26.4839, 1940, Nov Average, Gambia, The, GMB
24.0316, 1940, Dec Average, Gambia, The, GMB
24.3614, 1941, Jan Average, Gambia, The, GMB
26.2724, 1941, Feb Average, Gambia, The, GMB
27.6063, 1941, Mar Average, Gambia, The, GMB
29.3105, 1941, Apr Average, Gambia, The, GMB
30.139, 1941, May Average, Gambia, The, GMB
28.866, 1941, Jun Average, Gambia, The, GMB
28.397, 1941, Jul Average, Gambia, The, GMB
27.7942, 1941, Aug Average, Gambia, The, GMB
27.3918, 1941, Sep Average, Gambia, The, GMB
29.2761, 1941, Oct Average, Gambia, The, GMB
27.4765, 1941, Nov Average, Gambia, The, GMB
24.1688, 1941, Dec Average, Gambia, The, GMB
23.5118, 1942, Jan Average, Gambia, The, GMB
25.2799, 1942, Feb Average, Gambia, The, GMB
27.8947, 1942, Mar Average, Gambia, The, GMB
29.4186, 1942, Apr Average, Gambia, The, GMB
29.9188, 1942, May Average, Gambia, The, GMB
29.8048, 1942, Jun Average, Gambia, The, GMB
28.0364, 1942, Jul Average, Gambia, The, GMB
26.5249, 1942, Aug Average, Gambia, The, GMB
27.4124, 1942, Sep Average, Gambia, The, GMB
28.2661, 1942, Oct Average, Gambia, The, GMB
27.2025, 1942, Nov Average, Gambia, The, GMB
24.1628, 1942, Dec Average, Gambia, The, GMB
23.2137, 1943, Jan Average, Gambia, The, GMB
25.6871, 1943, Feb Average, Gambia, The, GMB
27.2894, 1943, Mar Average, Gambia, The, GMB
29.4726, 1943, Apr Average, Gambia, The, GMB
30.6805, 1943, May Average, Gambia, The, GMB
29.2935, 1943, Jun Average, Gambia, The, GMB
27.7786, 1943, Jul Average, Gambia, The, GMB
26.5143, 1943, Aug Average, Gambia, The, GMB
26.8611, 1943, Sep Average, Gambia, The, GMB
27.9267, 1943, Oct Average, Gambia, The, GMB
26.6009, 1943, Nov Average, Gambia, The, GMB
23.4589, 1943, Dec Average, Gambia, The, GMB
24.1851, 1944, Jan Average, Gambia, The, GMB
26.2493, 1944, Feb Average, Gambia, The, GMB
27.8563, 1944, Mar Average, Gambia, The, GMB
29.5093, 1944, Apr Average, Gambia, The, GMB
30.7371, 1944, May Average, Gambia, The, GMB
30.1062, 1944, Jun Average, Gambia, The, GMB
28.5332, 1944, Jul Average, Gambia, The, GMB
27.4067, 1944, Aug Average, Gambia, The, GMB
27.2039, 1944, Sep Average, Gambia, The, GMB
28.367, 1944, Oct Average, Gambia, The, GMB
27.7211, 1944, Nov Average, Gambia, The, GMB
23.9368, 1944, Dec Average, Gambia, The, GMB
25.175, 1945, Jan Average, Gambia, The, GMB
27.0002, 1945, Feb Average, Gambia, The, GMB
29.1036, 1945, Mar Average, Gambia, The, GMB
30.787, 1945, Apr Average, Gambia, The, GMB
30.1377, 1945, May Average, Gambia, The, GMB
29.8227, 1945, Jun Average, Gambia, The, GMB
27.9745, 1945, Jul Average, Gambia, The, GMB
26.7351, 1945, Aug Average, Gambia, The, GMB
27.1228, 1945, Sep Average, Gambia, The, GMB
28.2679, 1945, Oct Average, Gambia, The, GMB
26.8958, 1945, Nov Average, Gambia, The, GMB
25.4715, 1945, Dec Average, Gambia, The, GMB
23.3806, 1946, Jan Average, Gambia, The, GMB
